identifiant_ban;numero_dpe
73008_0090_00002;2173E0105796X
73296;2173E0474650P
73024_bc5zgl;2173E0925196H
73011_0615_00290;2173E0417941M
73065_3910_00002;2173E0258014L
73236_0340_00139;2173E0137480N
73011_0430_00002;2173E0219554F
73296;2173E0476267U
73098_0390;2173E0589177M
73227_2140;2173E0169383O
73227_2140;2173E0545351W
73155_0025_00129;2173E0197140D
73059_0135_00026;2173E0536595C
73232_B127;2173E0647360H
73054_A151;2173E0398125I
73008_1970_00007;2173E0398328D
73153_0335;2173E0595484B
73227_2780;2173E0378244R
73023_0070;2173E0840456B
73241_0300_00135;2173E0906625A
73114_0490;2173E0993407U
73215_0320_00054;2173E0271565Q
73054_1055;2173E0556070D
NA;2173E0475959Y
73206_0002;2173E0776536P
73157_0055;2173E0766327Y
73008_A128;2173E0251182R
73058_0040;2173E0852419E
73227_2380;2173E0332957W
73303_0254;2173E0244015A
73296_uf2qql;2173E0220666Z
73008_0653_00004;2173E0678355K
73011_1360_00073;2173E0905081Q
73131_0550;2173E0469741U
73011_1480_00275;2173E0554909M
73114_0054_00133;2173E0692200X
73094_0790;2173E0337358D
73065_1580_00133;2173E0217500F
73150_0823;2173E0716811M
73150_xu38lz;2173E0252530N
73011_1460_00058;2173E0258544V
73130_nnfvk0;2173E0275121K
73093_0014;2173E0470701S
73132;2173E0072094R
73015_0060;2173E0214284N
73015_0960;2173E0530042B
73257_0010;2173E0438796P
NA;2173E0139852T
73307_8sopvs;2173E0714969Q
73034_0227;2173E0815314B
73304_0455;2173E0254502J
73132_0621;2173E0948186N
73318_A127;2173E0864387M
73132_0174;2173E1011271W
73116_0230;2173E0925279M
73286_1825_00037;2173E0180635I
73303_0172_00056;2173E0362198N
73054_1055;2173E0556085S
73206_0064;2173E0535188Z
NA;2173E0197126P
73064_0030_00088;2173E0928820R
73301_0131;2173E0761453M
73065_1760_00224;2173E0527582L
73071_0013;2173E0668641U
NA;2173E0394346Z
73038_0011_00008;2173E0502537E
NA;2173E0121106T
73008_1020;2173E0722547C
73011_0080;2173E0596699U
NA;2173E0197123M
73296_0091;2173E0479653A
73214_0900;2173E0795697O
73179_a080_00115;2173E0771251I
73011_1229_00020;2173E0430311G
73176_0200;2173E0799597O
73253_1310;2173E0699531W
73057_0015;2173E0925721M
73047_161bgi;2173E0394939U
73227_1955_00362;2173E0784992V
73006_phq2sn;2173E0410635M
73307_A019;2173E0312997E
73257_0010;2173E0314939W
73301_0131;2173E0634816V
73054_0274_00118;2173E0068867O
NA;2173E0053607Q
73018_0021;2173E0377247I
73186_B021;2173E0567555W
73227_2495;2173E0963480T
73257_0433;2173E0782009C
73150_0839;2173E0338265A
NA;2173E0121127O
73015_1440;2173E0539058V
73054;2173E0343620Z
73065_2910_00111;2173E0663205S
73015_0960;2173E0431527A
73150_xatf7k;2173E0427853S
73307_A025;2173E0462217K
73257_gmf23q;2173E0596508L
73087_0790;2173E0396862T
73307_u6m8pn;2173E0758305K
73296_ltbtek;2173E0443736P
73011_1360_00073;2173E0903190X
73150_0873;2173E0942596N
73054_A061;2173E0903319W
73063_0040;2173E0646413W
73105_0270;2173E0046391C
73008_1260_00058;2173E0360938B
73227_2380;2173E0934510N
73207_B045;2173E0358474H
73108_0042;2173E0104083A
NA;2173E0159114P
73105_0260_00008;2173E0619217W
73051_0330;2173E0233010T
73296_0113;2173E0861715S
73304_0221;2173E1008099W
73215_0250_00004;2173E0742805G
73008_2183_00158;2173E0404919Q
73015_0980;2173E0061114J
73257_b75ifp;2173E0509222H
73282;2173E0386830X
73288_jf3qhw_00540;2173E0211715S
73116_0935;2173E0878470D
73057_0002;2173E0690683O
73011_0280_00032_bis;2173E0801703O
73065_1980_00041;2173E0463694F
73150_xu38lz;2173E0400904F
73296_0096;2173E0854217I
NA;2173E0259952Z
73054_1055;2173E0556213Q
73054_A151;2173E0536750B
73015;2173E0021883M
73015_0370;2173E0400954D
73087_0150;2173E1014916B
73104_1250_00508;2173E0316447W
73186_0165;2173E0522232R
73015_0710;2173E0440253Q
73056_0045;2173E0042107I
73307_f8ffni;2173E0832274J
73227_2015_00754;2173E0948273W
73249_0019_00041;2173E0728135A
73091_0250_00157;2173E0289137M
73130_0110_00044;2173E0505823O
73029_0020_00040;2173E0289912H
73103_0200_00300;2173E0483870F
73227_1995_00412;2173E0210810X
NA;2173E0197122L
73065_0220_00615;2173E0955102N
73054_A151;2173E0188419S
73051_0310_00404;2173E0322412H
73114_0530_00167;2173E0126096R
73296_ltbtek;2173E0639935S
73054_A151;2173E0552910P
73132_0260;2173E0834770J
NA;2173E0328116R
73006_jl45pw;2173E0725946V
73064_0430_00038;2173E0463713Y
73150_0kr51u;2173E0630706T
73065_0980_00344;2100E0073912U
73065_m078c6_00366;2173E0769555C
NA;2173E0433451A
NA;2173E0343160H
73150_xu38lz;2173E0438442Z
73116_0270;2173E0750559M
73248_0070_00416;2173E0823607A
73008_1580_00159;2173E0682308L
73232_B127;2173E0744548H
73204_0264;2173E0702101S
73257_mckgub;2173E0758854N
73124_0007;2173E0814627Q
73030_0299_00041;2173E0619207M
73150_nwn9sh;2173E0259999U
73067_0050;2173E0549079G
73176_0030;2173E0181922V
73265_0050_00449;2173E0791320F
73157_A057;2173E0504824D
73011_0370_00066;2173E0041885U
73116_0650_00140;2173E0846782J
73303_0470;2173E0738855I
73059_0105_00008;2173E0356938F
73132_0127;2173E0997703A
73227_1980;2173E0366563K
73029_0050_00025;2173E0596355O
73304;2173E0146850X
73155_0025;2173E0287073C
73054;2173E0139431O
73116_0950;2173E0861636R
73065_2210_00001_bis;2173E0560005M
73240_2900;2173E0082930L
NA;2173E0317133G
73248_0642;2173E0558984F
73008_0753;2173E0720857C
73011_0660_00002;2173E0998631S
73071_0011;2173E0501662N
NA;2173E0071330H
73100_0050_00250;2173E0069127O
73227_2380;2173E0259582T
73029_0179;2173E0835561U
73261_0220;2173E0895691M
73046_0130;2173E0096392F
73065_3640;2173E0898435A
73257_0010;2173E0114242T
73029_0040;2173E0497188L
73227_1960_01056;2173E0192480X
73150_4n0qvm_00006;2173E0571435C
73206_0064;2173E0556017C
73011_1010_00002;2173E0550548T
73008_0940_00170;2173E0702714H
73296_57e066;2173E0997709G
73150_jt9efn;2173E0495725E
73071;2173E0912654X
73213_0020_00010;2173E0567954F
73071;2173E0681879Y
73232_B127;2173E0393598F
73065_1620_00757;2173E0836542N
73116_0697;2173E0391356Z
73010_2884_00315;2173E0632014B
NA;2173E0226170R
73181_0420_00073;2173E0781128F
73055_0213;2173E0824002F
73156_0130;2173E0664302X
73054_A151;2173E0748264F
73087_0490_00016;2173E0078391W
73155_0051_00092;2173E0578343U
73008_2230;2173E0358528J
73015_0980;2173E0113335W
73093_0014;2173E0313357A
73243_3800_00287;2173E0729767U
73132_0260;2173E0856000X
73300_0143;2173E0806927M
73029_0320_00023;2173E0614899U
73227_2745;2173E0932593U
73215_0270;2173E0160808T
73029_0360_00019;2173E0379332N
73296;2173E0174528L
73306_0521;2173E0818910J
73008_wiafjm_00022;2173E0250373O
73065_1980_00085;2173E0191585M
NA;2173E0476342R
73235_c3q4yj;2173E0335625M
73132_0621;2173E0411051M
73179_0612_01307;2173E0685948L
73182_0008_00356;2173E0799446T
NA;2173E0099490J
73306_0521;2173E0819098P
73034_0255;2173E0207759O
73011_1100_00009;2173E0988673S
73150_0871;2173E0651391I
73222_0232;2173E0394198H
73253_1310;2173E0891073W
73129_0099;2173E0926723A
73087_0210_00003;2173E0114201E
73257_0010;2173E0220379Y
73303_0254;2173E0090972T
73296_0096;2173E0197847I
73184_1200_00022;2173E0056122J
NA;2173E0394351E
73103_0102_00111;2173E0788196B
73034_0735_01901;2173E0920301A
73232_A004;2173E0396270Z
73008_0940_00169_bis;2173E0123394T
73175_c1nvm5;2173E0927693I
73051_0120;2173E0457282P
73024_vq25vk;2173E0181774D
73057_0002;2173E0690207G
73015_0960;2173E0525940H
73007_0042;2173E0847430H
73065_0200_00005;2173E0019507C
73054_0150;2173E0163760H
73087_0710_00002;2173E0486942J
73008_1330_00033;2173E0554819A
73054_0012;2142E0770714M
73054_A061;2173E0206561M
73011;2173E0625254B
73213_0150;2173E0359725K
73051_0340_00350;2173E0807194T
73006_1234_00039;2173E0748200T
73150_xatf7k;2173E0136316T
73315_0900_00105;2173E0662781K
73065_0917_01194;2173E0206779W
73282_0550;2173E0576758V
73304_0001;2173E0837469E
73329_A048;2173E0136384J
73024_3j4gtx;2173E0983492L
73157_0102_00835;2173E0904607K
73262_0108;2173E0517040Z
73296_57e066;2173E0988714H
73303_0124;2173E0620637M
73157_A035;2173E0228937C
73181_0320_00052;2173E0699856J
73303_0254;2173E0180143K
73296_0091;2173E0608867U
73064_0060_00066;2173E0087352N
NA;2173E0467764T
73204_0075;2173E0160103Q
73087_0490_00036;2173E0126205W
73328_0130_00080;2173E0111114L
73179_0284_00114;2173E0728431K
73029_0050_00025;2173E0139152V
73288_0044_00245;2173E0146051E
73150_0871;2173E0130960T
73224_0150;2173E0435924D
73296_0035;2173E0762941S
73232_B127;2173E0929373Y
73034_0055_00085;2173E0194754J
73303_v2adg6_00631;2100E0310846Q
73084_0120_00042;2173E0767406L
73029_0400_00021;2173E0556028N
73011_v52foz_00004_bis;2173E0537594N
73307_qg1icr;2173E0995623A
73064_0302;2173E0795087C
73297_0280_00412;2173E0142552P
73248_0230_00083;2173E0348333G
73032_0067;2173E0102971G
73179_0565_00114;2173E0241250R
NA;2173E0253403C
73304_0205;2173E0522174L
73248_0360;2173E0942909O
73315_0500_00050_b;2173E0893537Q
73184_1200_00022;2173E0056297C
NA;2173E0171198J
73296_57e066;2173E0988693M
73227_2400;2173E0869970F
73235_l04gm0;2173E0464444B
73013_A019;2173E0119847I
73065_3440_00081;2173E0962062F
73112_0090_00004;2173E0529154X
73051_0315;2173E0669727O
73128_0078_00349;2173E0864300D
73215_0414;2173E0160716F
73232_A004;2173E0396154N
73067_0032;2173E0411029Q
73051_0315;2173E0670687M
73304_0001;2173E0851380F
73111_1300;2173E0792423Q
73300_0150_00045;2173E0255461G
73063_0040;2173E0652666J
73150_0645;2173E0819096N
